Longitude,Latitude,Name
6.89719439999999, 52.4091006, "'n Deurloop"
4.88888129931946, 52.3838216947566, "Blauwhooft"
6.09442849999999, 50.8691073, "Taktus"
6.91867529903691, 50.9314023947913, "Zum kleinen Geißbock"
4.4982156, 52.1600789, "De Pelikaan"
3.84975400000001, 51.0294633, "Terminus"
3.02108150000001, 50.816654, "' Hoogland"
4.45347999938007, 51.9046099947669, "Verschoor"
6.42877230000001, 51.19497, "Abacab"
4.90040200000001, 52.3727141, "In De Waag"
4.43325879999999, 50.894738, "De Groote Markt"
3.72097929999999, 51.0551024, "Denis Foley's"
4.70083299999999, 50.880158, "'t Poske"
6.00211480000001, 51.3200635, "Friends"
5.340038, 50.9315014, "Unplugged Food"
3.73807499999999, 51.0568865, "De Zevende Hemel"
4.357836, 50.8504948, "New Harry's"
4.88946179999999, 52.3512626, "Fonk"
4.44015699938192, 51.9104549947668, "'t Schippertje"
7.32108300000001, 52.9661713, "Westhus"
2.8861546, 50.8515676999999, "In 't klein stadhuis"
4.34611760000001, 50.8305688, "Brasserie de l'Union"
4.4147099, 51.2213361, "Vettige Swa"
4.698646, 50.8776358, "Het Groot Genoegen"
4.27752639999999, 51.4960923, "De Mortier"
4.33006369999999, 51.2144214, ""
4.04028919999999, 51.07443, "Carlton"
4.88115900000001, 52.0859813, "Drinkerij 't Bierhuys"
6.3738461, 51.2803006, "Süchtelner Höhen Eck"
3.98202079999998, 51.0453422, "Cheers"
6.95319990000001, 50.9664834, "Schill-Eck"
5.61028530000001, 51.4587549, "Wijkhuis 't Brandpunt"
6.16018810000001, 51.6786229, "Goch Live"
4.49231979999999, 51.1683396, "'T Kasteeltje"
2.96358401028595, 51.1559134025344, "Den Langen Avond"
5.91696399999999, 52.5582305, "De Vijfsprong"
4.14254569999999, 51.1704747, "The panick"
4.2800289, 51.4956882, "De Kaai"
6.55407649908766, 51.3284984947808, "Marktstube"
5.02361139999999, 51.1141736, ""
5.12238999999999, 52.0924642, "MIck O'Connells Irish Pub"
5.0743334716941, 51.6272398682779, "Café-Brasserie de Kiosk"
4.47296279999999, 51.1541595, "De Eendracht"
4.1296257, 51.0007627, "Den Bierboom"
4.41001819999999, 51.2250771, "Gulden Vlies"
4.43490980000001, 50.9096836, "Moderne"
6.63898199907585, 49.7547289948264, "Bitburger Wirtshaus"
4.40236399938719, 51.9142839947667, "'t Sterretje"
6.11410069999999, 50.9134500999999, "Tatort"
4.4721641, 51.1653614, "Zotte mus"
4.57803339999999, 51.3051564, "Taverne Den Dremmel"
4.74727950000001, 50.8638346, ""
6.14254573536485, 49.6124506343483, "Verso"
6.90186929903926, 50.8344705947939, "Nord-Treff"
4.6430937, 52.460324, "Theeschenkerij"
4.90170779999999, 52.3740711, "eatme"
5.38864461855485, 51.1500937687485, "D'n Teut"
3.9022275, 51.0407093, "De Schorpioen"
5.72741219999999, 50.8433418, ""
5.63422550000001, 51.7433787, "De Potter"
6.21307829999999, 51.0967559, "Zur Zöff"
4.4076928, 51.2238241, ""
6.86518659999999, 51.226777, "Bergschlößchen"
6.7836402, 51.2478318, ""
4.36496670000001, 50.8487195, "Bier Circus"
7.0552506990179, 51.3303489947807, "Club der toten Dichter"
6.3761385, 50.4069979, "Hütte Weißer Stein (im Winter)"
6.03665229915969, 50.6323373947996, "Am Weberbrunnen"
7.1077174990106, 51.2778914947821, "Am Eckbusch"
6.79627479905395, 51.4331630947782, "Fährmann"
2.82138730000001, 51.1872561, "Sportkroeg"
3.82041390000001, 50.4480699, "Concordia"
2.8118649, 51.1867808, "Iceberg"
6.1574305, 51.8007463, "Kellener Krug"
3.84828000000001, 51.029248, "Boldershof"
6.7643625, 50.5547897, "little Bit"
5.99163270000001, 51.1933588, "Plan B"
6.93444499999999, 50.936844, "Grünfeld"
5.97587259916815, 52.1993496947605, ""
4.4804536, 51.0276841, "Ankercafe"
7.00856049999999, 50.942637, "Steinmetzschänke"
7.0049813990249, 51.4945460947767, "Bistro Blue"
6.6681227, 53.5826096, "Aikes"
7.1914753, 50.6766891, "R(h)einstube"
4.40134399938733, 50.8419281947937, "Taverne L'Aristo"
4.4878684, 52.1571335, "La Bota"
4.2872977, 51.494111, "Geen Flauw Idee"
4.3227842, 51.0069495, "Bergbos"
7.0138502, 51.4615444, "tuRock"
6.95890952895367, 50.9432443997285, "Kölsch Treff"
5.01201310000001, 52.1032306, "Vallen Eetcafé-Zalencentrum"
5.4634782, 50.5889311, "PQ (Le)"
5.71287580000001, 50.8382466, "The Family"
4.89950919999999, 52.3736968, "Old Sailor Pub"
6.54287869999999, 52.9255532, "Cafe Boszicht"
6.08147809999999, 50.7705457, "Last Exit"
4.699534, 50.880328, ""
4.47774389999999, 51.0296286, "Gino"
4.3595195, 50.8257107, "Banco"
6.5795123, 50.4769001, "Die Küchenschelle"
4.46007899937915, 51.904689994767, "Verhip"
6.63449349907647, 49.7485556948266, "Roots Cafe"
4.85027279999999, 52.3508623, "Pleinzicht"
4.48032009999999, 51.028492, "Sofa"
4.85144029999999, 52.3701009, "Jan Meulstee"
7.275493, 52.9595923, "Ganseforth"
6.7806209, 51.2179779, "Rosie's"
4.10164619999999, 51.1155687, "'t Speelse geweten"
5.67219360000001, 52.0448295, "Het Marnix"
4.8904264, 52.3566888, "Kingfisher"
5.38808480000001, 52.1551745, ""
7.01228399999999, 52.0696091, ""
4.3774049, 50.8448872, "The Wild Geese"
6.3379191, 50.9482259, "Broicher Hof"
3.2149895, 50.9156564, "De nieuwe Sint-Pieter"
4.4775896, 51.9934135, "het Centrum"
6.3519683, 49.5006131, ""
5.36919530000001, 51.6625874, "De Linden"
7.14093979999999, 51.2518019, "Kaminstuebchen"
4.3131513, 52.0507701, "Café Marathon"
4.02312519999999, 50.496258, "Café des étangs"
4.1027964, 51.9862779, "Zeebries"
